Organisation,Location,Date,Rocket_Status,Price,Mission_Status
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Feb 16, 2011 21:51 UTC",Retired,0,Success
Northrop,"SLC-8, Vandenberg SFB, California, USA","Sun Feb 06, 2011 12:26 UTC",Active,40.0,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Feb 01, 2011 14:00 UTC",Retired,13.0,Partial Failure
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jan 28, 2011 01:31 UTC",Retired,20.0,Success
MHI,"LA-Y2, Tanegashima Space Center, Japan","Sat Jan 22, 2011 05:37 UTC",Retired,112.5,Success
ULA,"SLC-6, Vandenberg SFB, California, USA","Thu Jan 20, 2011 21:10 UTC",Active,350.0,Success
Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Thu Jan 20, 2011 12:29 UTC",Retired,0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Dec 29, 2010 21:27 UTC",Active,200.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Sun Dec 26, 2010 21:50 UTC",Active,65.0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Sat Dec 25, 2010 10:34 UTC",Retired,47.0,Failure
CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Dec 17, 2010 20:20 UTC",Active,69.7,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Dec 15, 2010 19:09 UTC",Retired,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Dec 08, 2010 15:43 UTC",Retired,59.5,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Sun Dec 05, 2010 10:25 UTC",Active,65.0,Failure
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Nov 26, 2010 18:39 UTC",Active,200.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Wed Nov 24, 2010 16:09 UTC",Active,69.7,Success
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Sun Nov 21, 2010 22:58 UTC",Active,350.0,Success
Northrop,"LP-1, Pacific Spaceport Complex, Kodiak, Alaska, USA","Sat Nov 20, 2010 01:25 UTC",Active,46.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Sun Nov 14, 2010 17:29 UTC",Active,65.0,Success
ULA,"SLC-2W, Vandenberg SFB, California, USA","Sat Nov 06, 2010 02:20 UTC",Retired,0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Thu Nov 04, 2010 18:37 UTC",Active,64.68,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Nov 02, 2010 00:58 UTC",Active,23.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Sun Oct 31, 2010 16:26 UTC",Retired,20.14,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 28, 2010 21:51 UTC",Active,200.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Oct 27, 2010 15:11 UTC",Retired,20.0,Success
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Oct 19, 2010 17:10 UTC",Active,23.0,Success
ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Thu Oct 14, 2010 18:53 UTC",Active,65.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Oct 07, 2010 23:10 UTC",Retired,0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Oct 06, 2010 00:49 UTC",Active,64.68,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Fri Oct 01, 2010 10:59 UTC",Retired,20.14,Success
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Thu Sep 30, 2010 17:01 UTC",Retired,0,Success
Northrop,"SLC-8, Vandenberg SFB, California, USA","Sun Sep 26, 2010 04:41 UTC",Active,46.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Sep 22, 2010 02:42 UTC",Active,29.75,Success
ULA,"SLC-3E, Vandenberg SFB, California, USA","Tue Sep 21, 2010 04:03 UTC",Retired,120.0,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Sat Sep 11, 2010 11:17 UTC",Active,90.0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Fri Sep 10, 2010 10:22 UTC",Retired,20.0,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Wed Sep 08, 2010 03:30 UTC",Retired,13.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Sat Sep 04, 2010 16:14 UTC",Active,29.15,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Thu Sep 02, 2010 00:53 UTC",Active,65.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Tue Aug 24, 2010 07:10 UTC",Active,29.75,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Sat Aug 14, 2010 11:07 UTC",Active,140.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Mon Aug 09, 2010 22:49 UTC",Active,64.68,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Aug 04, 2010 20:59 UTC",Active,200.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Jul 31, 2010 21:30 UTC",Active,69.7,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Jul 12, 2010 03:52 UTC",Active,21.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Sat Jul 10, 2010 18:40 UTC",Active,65.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Jun 30, 2010 15:35 UTC",Retired,20.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Jun 26, 2010 21:41 UTC",Active,200.0,Success
IAI,"Pad 1, Palmachim Airbase, Israel","Tue Jun 22, 2010 19:00 UTC",Active,0,Success
Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Mon Jun 21, 2010 02:14 UTC",Retired,29.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Tue Jun 15, 2010 21:35 UTC",Retired,0,Success
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia","Tue Jun 15, 2010 14:42 UTC",Retired,29.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Tue Jun 15, 2010 01:39 UTC",Active,29.75,Success
KARI,"LC-1, Naro Space Center, South Korea","Thu Jun 10, 2010 08:01 UTC",Retired,0,Failure
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Jun 04, 2010 18:45 UTC",Retired,59.5,Success
